"ClassName","EnumName","NumericId","Direction"
"ClientVersion","ClientVersion","0","Client"
"Disconnect","Disconnect","1","Client"
"KeepAlive","KeepAlive","2","Client"
"NewAccount","NewAccount","3","Client"
"ChangePassword","ChangePassword","4","Client"
"Login","Login","5","Client"
"NewCharacter","NewCharacter","6","Client"
"DeleteCharacter","DeleteCharacter","7","Client"
"StartGame","StartGame","8","Client"
"LogOut","LogOut","9","Client"
"Turn","Turn","10","Client"
"Walk","Walk","11","Client"
"Run","Run","12","Client"
"Chat","Chat","13","Client"
"MoveItem","MoveItem","14","Client"
"StoreItem","StoreItem","15","Client"
"TakeBackItem","TakeBackItem","16","Client"
"MergeItem","MergeItem","17","Client"
"EquipItem","EquipItem","18","Client"
"RemoveItem","RemoveItem","19","Client"
"RemoveSlotItem","RemoveSlotItem","20","Client"
"SplitItem","SplitItem","21","Client"
"UseItem","UseItem","22","Client"
"DropItem","DropItem","23","Client"
"DepositRefineItem","DepositRefineItem","24","Client"
"RetrieveRefineItem","RetrieveRefineItem","25","Client"
"RefineCancel","RefineCancel","26","Client"
"RefineItem","RefineItem","27","Client"
"CheckRefine","CheckRefine","28","Client"
"ReplaceWedRing","ReplaceWedRing","29","Client"
"DepositTradeItem","DepositTradeItem","30","Client"
"RetrieveTradeItem","RetrieveTradeItem","31","Client"
"TakeBackHeroItem","TakeBackHeroItem","32","Client"
"TransferHeroItem","TransferHeroItem","33","Client"
"DropGold","DropGold","34","Client"
"PickUp","PickUp","35","Client"
"RequestMapInfo","RequestMapInfo","36","Client"
"TeleportToNPC","TeleportToNPC","37","Client"
"SearchMap","SearchMap","38","Client"
"Inspect","Inspect","39","Client"
"Observe","Observe","40","Client"
"ChangeAMode","ChangeAMode","41","Client"
"ChangePMode","ChangePMode","42","Client"
"ChangeTrade","ChangeTrade","43","Client"
"Attack","Attack","44","Client"
"RangeAttack","RangeAttack","45","Client"
"Harvest","Harvest","46","Client"
"CallNPC","CallNPC","47","Client"
"BuyItem","BuyItem","48","Client"
"SellItem","SellItem","49","Client"
"CraftItem","CraftItem","50","Client"
"RepairItem","RepairItem","51","Client"
"BuyItemBack","BuyItemBack","52","Client"
"SRepairItem","SRepairItem","53","Client"
"MagicKey","MagicKey","54","Client"
"Magic","Magic","55","Client"
"SwitchGroup","SwitchGroup","56","Client"
"AddMember","AddMember","57","Client"
"DelMember","DellMember","58","Client"
"GroupInvite","GroupInvite","59","Client"
"NewHero","NewHero","60","Client"
"SetAutoPotValue","SetAutoPotValue","61","Client"
"SetAutoPotItem","SetAutoPotItem","62","Client"
"SetHeroBehaviour","SetHeroBehaviour","63","Client"
"ChangeHero","ChangeHero","64","Client"
"TownRevive","TownRevive","65","Client"
"SpellToggle","SpellToggle","66","Client"
"ConsignItem","ConsignItem","67","Client"
"MarketSearch","MarketSearch","68","Client"
"MarketRefresh","MarketRefresh","69","Client"
"MarketPage","MarketPage","70","Client"
"MarketBuy","MarketBuy","71","Client"
"MarketGetBack","MarketGetBack","72","Client"
"MarketSellNow","MarketSellNow","73","Client"
"RequestUserName","RequestUserName","74","Client"
"RequestChatItem","RequestChatItem","75","Client"
"EditGuildMember","EditGuildMember","76","Client"
"EditGuildNotice","EditGuildNotice","77","Client"
"GuildInvite","GuildInvite","78","Client"
"GuildNameReturn","GuildNameReturn","79","Client"
"RequestGuildInfo","RequestGuildInfo","80","Client"
"GuildStorageGoldChange","GuildStorageGoldChange","81","Client"
"GuildStorageItemChange","GuildStorageItemChange","82","Client"
"GuildWarReturn","GuildWarReturn","83","Client"
"MarriageRequest","MarriageRequest","84","Client"
"MarriageReply","MarriageReply","85","Client"
"ChangeMarriage","ChangeMarriage","86","Client"
"DivorceRequest","DivorceRequest","87","Client"
"DivorceReply","DivorceReply","88","Client"
"AddMentor","AddMentor","89","Client"
"MentorReply","MentorReply","90","Client"
"AllowMentor","AllowMentor","91","Client"
"CancelMentor","CancelMentor","92","Client"
"TradeRequest","TradeRequest","93","Client"
"TradeReply","TradeReply","94","Client"
"TradeGold","TradeGold","95","Client"
"TradeConfirm","TradeConfirm","96","Client"
"TradeCancel","TradeCancel","97","Client"
"EquipSlotItem","EquipSlotItem","98","Client"
"FishingCast","FishingCast","99","Client"
"FishingChangeAutocast","FishingChangeAutocast","100","Client"
"AcceptQuest","AcceptQuest","101","Client"
"FinishQuest","FinishQuest","102","Client"
"AbandonQuest","AbandonQuest","103","Client"
"ShareQuest","ShareQuest","104","Client"
"AcceptReincarnation","AcceptReincarnation","105","Client"
"CancelReincarnation","CancelReincarnation","106","Client"
"CombineItem","CombineItem","107","Client"
"AwakeningNeedMaterials","AwakeningNeedMaterials","108","Client"
"AwakeningLockedItem","AwakeningLockedItem","109","Client"
"Awakening","Awakening","110","Client"
"DisassembleItem","DisassembleItem","111","Client"
"DowngradeAwakening","DowngradeAwakening","112","Client"
"ResetAddedItem","ResetAddedItem","113","Client"
"SendMail","SendMail","114","Client"
"ReadMail","ReadMail","115","Client"
"CollectParcel","CollectParcel","116","Client"
"DeleteMail","DeleteMail","117","Client"
"LockMail","LockMail","118","Client"
"MailLockedItem","MailLockedItem","119","Client"
"MailCost","MailCost","120","Client"
"UpdateIntelligentCreature","UpdateIntelligentCreature","121","Client"
"IntelligentCreaturePickup","IntelligentCreaturePickup","122","Client"
"RequestIntelligentCreatureUpdates","RequestIntelligentCreatureUpdates","123","Client"
"AddFriend","AddFriend","124","Client"
"RemoveFriend","RemoveFriend","125","Client"
"RefreshFriends","RefreshFriends","126","Client"
"AddMemo","AddMemo","127","Client"
"GuildBuffUpdate","GuildBuffUpdate","128","Client"
"NPCConfirmInput","NPCConfirmInput","129","Client"
"GameshopBuy","GameshopBuy","130","Client"
"ReportIssue","ReportIssue","131","Client"
"GetRanking","GetRanking","132","Client"
"Opendoor","Opendoor","133","Client"
"GetRentedItems","GetRentedItems","134","Client"
"ItemRentalRequest","ItemRentalRequest","135","Client"
"ItemRentalFee","ItemRentalFee","136","Client"
"ItemRentalPeriod","ItemRentalPeriod","137","Client"
"DepositRentalItem","DepositRentalItem","138","Client"
"RetrieveRentalItem","RetrieveRentalItem","139","Client"
"CancelItemRental","CancelItemRental","140","Client"
"ItemRentalLockFee","ItemRentalLockFee","141","Client"
"ItemRentalLockItem","ItemRentalLockItem","142","Client"
"ConfirmItemRental","ConfirmItemRental","143","Client"
